month,resale_price
1990-01-01,25000.0
1990-02-01,22500.0
1990-03-01,25000.0
1990-04-01,29750.0
1990-05-01,30000.0
1990-06-01,26500.0
1990-07-01,24000.0
1990-08-01,26500.0
1990-09-01,30000.0
1990-10-01,22500.0
1990-11-01,24000.0
1990-12-01,31500.0
1991-01-01,29000.0
1991-03-01,31700.0
1991-04-01,23500.0
1991-05-01,23000.0
1991-06-01,22600.0
1991-07-01,31700.0
1991-08-01,22500.0
1991-09-01,31000.0
1991-10-01,30000.0
1991-11-01,31500.0
1991-12-01,25500.0
1992-01-01,31500.0
1992-02-01,32000.0
1992-03-01,22500.0
1992-07-01,27250.0
1992-08-01,27000.0
1992-09-01,28500.0
1992-10-01,29000.0
1992-11-01,31500.0
1992-12-01,31250.0
1993-01-01,24000.0
1993-02-01,30000.0
1993-03-01,40000.0
1993-04-01,26500.0
1993-05-01,31500.0
1993-06-01,46000.0
1993-07-01,66000.0
1993-09-01,45000.0
1993-10-01,55000.0
1993-11-01,52000.0
1993-12-01,63000.0
1994-01-01,55000.0
1994-02-01,66000.0
1994-03-01,65000.0
1994-04-01,70000.0
1994-05-01,70000.0
1994-06-01,74000.0
1994-07-01,69500.0
1994-08-01,76000.0
1994-09-01,76750.0
1994-10-01,70000.0
1994-11-01,69500.0
1994-12-01,82500.0
1995-01-01,71000.0
1995-03-01,68500.0
1995-04-01,87000.0
1995-05-01,88000.0
1995-06-01,97000.0
1995-07-01,82000.0
1995-08-01,92000.0
1995-09-01,94000.0
1995-10-01,95000.0
1995-11-01,97500.0
1995-12-01,103000.0
1996-01-01,108000.0
1996-02-01,100000.0
1996-03-01,109000.0
1996-04-01,112000.0
1996-05-01,117500.0
1996-06-01,136000.0
1996-07-01,135000.0
1996-08-01,136500.0
1996-09-01,138500.0
1996-10-01,141250.0
1996-11-01,136000.0
1996-12-01,145750.0
1997-01-01,151000.0
1997-02-01,152500.0
1997-03-01,149000.0
1997-04-01,148000.0
1997-05-01,149000.0
1997-06-01,150500.0
1997-07-01,149000.0
1997-08-01,132000.0
1997-09-01,132500.0
1997-10-01,131000.0
1997-11-01,132000.0
1997-12-01,120000.0
1998-01-01,121750.0
1998-02-01,120000.0
1998-03-01,120000.0
1998-04-01,117000.0
1998-05-01,113000.0
1998-06-01,114000.0
1998-07-01,118000.0
1998-08-01,104000.0
1998-09-01,106500.0
1998-11-01,103000.0
1998-12-01,102000.0
1999-01-01,102000.0
1999-02-01,96000.0
1999-03-01,96000.0
1999-04-01,97000.0
1999-05-01,95000.0
1999-06-01,92000.0
1999-07-01,91750.0
1999-08-01,101500.0
1999-09-01,108000.0
1999-10-01,102000.0
1999-12-01,104800.0
2000-01-01,100000.0
2000-02-01,90000.0
2000-03-01,109000.0
2000-04-01,102000.0
2000-05-01,98000.0
2000-06-01,101000.0
2000-09-01,85000.0
2000-11-01,89500.0
2000-12-01,93000.0
2001-01-01,98000.0
2001-02-01,85000.0
2001-03-01,96000.0
2001-07-01,85000.0
2001-08-01,86500.0
2001-09-01,86000.0
2001-10-01,80000.0
2001-11-01,79000.0
2001-12-01,79500.0
2002-03-01,84000.0
2002-06-01,94500.0
2002-08-01,94000.0
2002-10-01,111000.0
2002-11-01,99000.0
2002-12-01,105500.0
2003-03-01,117000.0
2003-04-01,110000.0
2003-05-01,115000.0
2003-06-01,140000.0
2003-07-01,135000.0
2003-08-01,135000.0
2003-09-01,132000.0
2003-10-01,126000.0
2003-11-01,129000.0
2003-12-01,125000.0
2004-01-01,132000.0
2004-02-01,162500.0
2004-04-01,137500.0
2004-05-01,151500.0
2004-06-01,157500.0
2004-07-01,129750.0
2004-08-01,174000.0
2004-09-01,153250.0
2004-10-01,182500.0
2004-11-01,100000.0
2004-12-01,160500.0
2005-01-01,190000.0
2005-02-01,155000.0
2005-03-01,197500.0
2005-04-01,180000.0
2005-06-01,153000.0
2005-08-01,144000.0
2005-09-01,150000.0
2005-10-01,150000.0
2005-11-01,150000.0
2005-12-01,148000.0
2006-02-01,138000.0
2006-03-01,146500.0
2006-04-01,136500.0
2006-05-01,129000.0
2006-06-01,138000.0
2006-08-01,149500.0
2006-09-01,154000.0
2006-10-01,138500.0
2006-11-01,154500.0
2006-12-01,136000.0
2007-01-01,143000.0
2007-02-01,149000.0
2007-03-01,153000.0
2007-05-01,145000.0
2007-06-01,144000.0
2007-07-01,152000.0
2007-08-01,154250.0
2007-10-01,140000.0
2007-11-01,164000.0
2008-01-01,178500.0
2008-02-01,169500.0
2008-03-01,175000.0
2008-04-01,183000.0
2008-05-01,172000.0
2008-06-01,184500.0
2008-07-01,202000.0
2008-09-01,188000.0
2008-11-01,210000.0
2008-12-01,232000.0
2009-01-01,212000.0
2009-02-01,191500.0
2009-03-01,202800.0
2009-04-01,193000.0
2009-05-01,220500.0
2009-06-01,234000.0
2009-07-01,190000.0
2009-10-01,210000.0
2009-11-01,221500.0
2009-12-01,237000.0
2010-01-01,227500.0
2010-02-01,212000.0
2010-03-01,236000.0
2010-04-01,232000.0
2010-05-01,249000.0
2010-06-01,246500.0
2010-07-01,243000.0
2010-08-01,265000.0
2010-09-01,250500.0
2010-10-01,278000.0
2010-11-01,250000.0
2011-01-01,266000.0
2011-03-01,231000.0
2011-05-01,270000.0
2011-06-01,275000.0
2011-07-01,283100.0
2011-09-01,281500.0
2011-11-01,292500.0
2011-12-01,287000.0
2012-02-01,281000.0
2012-03-01,309000.0
2012-04-01,282500.0
2012-05-01,307500.0
2012-06-01,302500.0
2012-07-01,292000.0
2012-10-01,306000.0
2012-11-01,315500.0
2012-12-01,305000.0
2013-01-01,298000.0
2013-02-01,310000.0
2013-05-01,330000.0
2013-06-01,320000.0
2013-08-01,322500.0
2013-09-01,317800.0
2013-11-01,315000.0
2014-01-01,290000.0
2014-04-01,302500.0
2014-06-01,298000.0
2014-07-01,300000.0
2014-08-01,305000.0
2014-09-01,285000.0
2014-10-01,293500.0
2014-12-01,290000.0
2015-03-01,288000.0
2015-10-01,270000.0
2015-11-01,251500.0
2016-03-01,264000.0
2016-06-01,240000.0
2016-08-01,260000.0
2016-09-01,250000.0
2016-10-01,285000.0
2016-12-01,265000.0
2017-01-01,279000.0
2017-02-01,250500.0
2017-03-01,232500.0
2017-04-01,243000.0
2017-06-01,250000.0
2017-07-01,235000.0
2017-10-01,220000.0
2017-11-01,260000.0
2018-01-01,258000.0
2018-03-01,240000.0
2018-04-01,228000.0
2018-05-01,225000.0
2018-08-01,220000.0
2018-09-01,240000.0
2018-10-01,213000.0
2018-11-01,214444.0
2019-02-01,222500.0
2019-03-01,220000.0
2019-05-01,218000.0
2019-09-01,210500.0
2019-10-01,225000.0
2019-11-01,217000.0
2020-02-01,210000.0
2020-07-01,230000.0
2020-08-01,225000.0
2020-09-01,250000.0
