q_value,r2,mse,rmse
1,0.4884970802970413,553708667.4688735,23531.0150114455
2,0.466031840106224,578027586.7384828,24042.20428202212
3,0.46058600988105136,583922769.895977,24164.493992136006
4,0.5040967515265999,536821817.2931453,23169.41555786734
5,0.4857969680516322,556631574.6426784,23593.040809583625
6,0.4208745718520043,626910926.1456143,25038.189354376533
7,0.487370102835346,554928635.4583919,23556.923302044175
8,0.42553497544407726,621865977.6938392,24937.24077948158
9,0.46445365484535606,579735993.1310048,24077.707389429852
10,0.40325575801924607,645983524.8619306,25416.20594939242
11,0.45636822141023214,588488581.6321038,24258.783597536458
12,0.4914925061820101,550466079.3791887,23462.013540597676
13,0.4390540386733176,607231413.1630303,24642.065927251926
14,0.4613707455366499,583073283.1825305,24146.910427268547
15,0.45878268982673764,585874887.676407,24204.85256464924
16,0.45704188141546687,587759335.7774718,24243.748385459534
17,0.4395039250732379,606744405.1921728,24632.182306733863
18,0.476928992842822,566231274.9510732,23795.614615955463
19,0.49619284549613396,545377899.9807477,23353.327385637098
20,0.4966369043444344,544897200.4114997,23343.033230741454
21,0.5017796319960204,539330129.7938606,23223.482292581804
22,0.5033311969154337,537650540.2726146,23187.292646460788
23,0.48279705055062305,559879024.9660605,23661.76293022269
24,0.5459047102053909,491564149.74538136,22171.246012468073
25,0.5464492529013034,490974675.08371425,22157.948350055205
26,0.5007010478745622,540497711.3533022,23248.606654019124
27,0.4990521503481653,542282664.7073596,23286.963406750987
28,0.45287021760376756,592275216.9608002,24336.70513772972
29,0.4433919725366885,602535542.4523605,24546.599407094265
30,0.43151232828463737,615395414.2838397,24807.16457565918
31,0.4714451664789193,572167589.430667,23920.024862668248
32,0.45539848904501,589538329.7275016,24280.410411018624
33,0.478178038761062,564879166.2448359,23767.186754953473
34,0.46761856566237814,576309935.3634973,24006.45611837568
35,0.4905029695438001,551537265.8617078,23484.830547860205
36,0.49068313360986804,551342235.8802443,23480.67792633433
37,0.4937375780593234,548035759.4148747,23410.163592227942
38,0.4377494212728471,608643678.7328744,24670.704868991368
39,0.4664763939148575,577546351.368136,24032.194060637412
40,0.5152653901198179,524731618.47964984,22907.02116119968
41,0.4943211490813736,547404036.0746043,23396.66720015063
42,0.4647013967747369,579467809.2198098,24072.137612181636
43,0.45451568077968496,590493981.3365042,24300.081920366116
44,0.4927809816279799,549071287.6883248,23432.270220538274
45,0.47199589585047075,571571417.6108956,23907.559842252736
